Source	Property	Range	Description	HF_Readme_Section
FAIR4ML	fair4ml:ethicalLegalSocial	Text	Considerations with regards to ethical legal and social aspects.	Bias, Risks, and Limitations
FAIR4ML	fair4ml:evaluatedOn	Dataset, croissant:Dataset	Dataset used for evaluating the model. 	Evaluation > Testing Data
FAIR4ML	fair4ml:fineTunedFrom	fair4ml:MLModel	Relationship to point to the source model used for fine tuning (if this model was finetuned from another one).	Model Details
FAIR4ML	fair4ml:hasCO2eEmissions	Text	Amount of CO2 equivalent emissions produced by training the model. The unit should be included in the field.	Environmental Impact
FAIR4ML	fair4ml:intendedUse	Text or DefinedTerm or URL	Purpose and intended use stated to enable users to make a decision as to the suitability of this creative work for their intended use.	Uses > Direct Use ; Uses > Downstream Use  ; Uses > Out-of-Scope Use
FAIR4ML	fair4ml:mlTask	Text or DefinedTerm	The ML task that the model is designed to perform.	Model Details
FAIR4ML	fair4ml:modelCategory	Text or DefinedTerm	Category of the model.	Model Details
FAIR4ML	fair4ml:modelRisks	Text	Potential risks associated with the model.	Bias, Risks, and Limitations
FAIR4ML	fair4ml:sharedBy	Person or Organization	Person or Organization that shared the model.	Model Details
FAIR4ML	fair4ml:testedOn	Dataset or croissant:Dataset	Dataset used for testing the model.	Evaluation > Testing Data
FAIR4ML	fair4ml:trainedOn	Dataset or croissant:Dataset	Dataset used for training the model.	Training Details > Training Data
FAIR4ML	fair4ml:usageInstructions	Text	Instructions for using the model.	How to Get Started with the Model ; Uses > Direct Use
FAIR4ML	fair4ml:validatedOn	Dataset, croissant:Dataset	Dataset used for validating the model.	Evaluation > Testing Data
codemeta	codemeta:buildInstructions	URL	Link to installation instructions/documentation.	How to Get Started with the Model
codemeta	codemeta:developmentStatus	Text	Description of development status, e.g. Active, inactive, suspended. See repostatus.org	More Information 
codemeta	codemeta:issueTracker	URL	Link to software bug reporting or issue tracking system.	Model Sources 
codemeta	codemeta:readme	URL	Link to software Readme file.	Model Sources 
codemeta	codemeta:referencePublication	ScholarlyArticle	An academic publication related to the software.	Model Sources  ; Citation 
schema.org	schema.org:distribution	MediaObject	A media object that encodes this creative work.	More Information  ; How to Get Started with the Model
schema.org	schema.org:memoryRequirements	Text or URL	Minimum memory requirements.	Technical Specifications > Hardware
schema.org	schema.org:operatingSystem	Text	Operating systems supported (Windows 7, OSX 10.6, Android 1.6).	Technical Specifications > Software
schema.org	schema.org:processorRequirements	Text	Processor architecture required to run the application (e.g. IA64).	Technical Specifications > Hardware
schema.org	schema.org:releaseNotes	Text or URL	Description of what changed in this version.	More Information 
schema.org	schema.org:softwareHelp	CreativeWork	Software application help.	How to Get Started with the Model
schema.org	schema.org:softwareRequirements	Text or URL	Required software dependencies.	Technical Specifications > Software ; How to Get Started with the Model
schema.org	schema.org:storageRequirements	Text or URL	Storage requirements (free space required).	Technical Specifications > Hardware
schema.org	schema.org:archivedAt	URL or WebPage	Indicates a page or other link involved in archival of a CreativeWork.	More Information 
schema.org	schema.org:author	Organization or Person	The author of this content. Please note that author is special in H T M L 5 provides a special mechanism for indicating authorship via the rel tag.	Model Details
schema.org	schema.org:citation	CreativeWork or Text	A citation or reference to another creative work, such as another publication, web page, scholarly article, etc.	Citation  ; Model Sources 
schema.org	schema.org:conditionsOfAccess	Text	Conditions that affect the availability of, or method(s) of access to, an item.	Model Details
schema.org	schema.org:contributor	Organization or Person	A secondary contributor to the CreativeWork.	Model Card Authors  ; Model Details
schema.org	schema.org:copyrightHolder	Organization or Person	The party holding the legal copyright to the CreativeWork.	Model Details
schema.org	schema.org:dateCreated	Date or DateTime	The date on which the CreativeWork was created.	More Information 
schema.org	schema.org:dateModified	Date or DateTime	The date on which the CreativeWork was most recently modified.	More Information 
schema.org	schema.org:datePublished	Date or DateTime	Date of first broadcast/publication.	More Information 
schema.org	schema.org:discussionUrl	URL	A link to the page containing the comments of the CreativeWork.	More Information 
schema.org	schema.org:funding	Grant	A Grant that directly or indirectly provided funding or sponsorship for this item.	Model Details
schema.org	schema.org:inLanguage	Language or Text	The language of the content.	Model Details
schema.org	schema.org:keywords	DefinedTerm or Text or URL	Keywords or tags used to describe this content.	More Information  ; Glossary 
schema.org	schema.org:license	CreativeWork or URL	A license document that applies to this content, typically indicated by URL.	Model Details
schema.org	schema.org:maintainer	Organization or Person	Individual responsible for maintaining the item.	Model Card Contact ; Model Card Authors 
schema.org	schema.org:version	Text	The version of the CreativeWork embodied by a specified resource.	More Information  ; Model Details
schema.org	schema.org:description	Text or TextObject	A description of the item.	Model Summary ; Model Details > Model Description
schema.org	schema.org:identifier	PropertyValue or Text or URL	The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, G T I N codes, U U I Ds etc.	Model Card title ; Model Sources 
schema.org	schema.org:name	Text	The name of the item.	Model Card title
schema.org	schema.org:url	URL	URL of the item.	Model Sources  
