Source,Property,Range,Real_Range
FAIR4ML,fair4ml:sharedBy,Person or Organization,Person or Organization
FAIR4ML,fair4ml:evaluatedOn,Dataset or croissant:Dataset,Dataset or croissant:Dataset
FAIR4ML,fair4ml:testedOn,Dataset or croissant:Dataset,Dataset or croissant:Dataset
FAIR4ML,fair4ml:trainedOn,Dataset or croissant:Dataset,Dataset or croissant:Dataset 
FAIR4ML,fair4ml:fineTunedFrom,fair4ml:MLModel,fair4ml:MLModel
FAIR4ML,fair4ml:legal,Text,Text
FAIR4ML,fair4ml:ethicalLegalSocial,Text,Text
FAIR4ML,fair4ml:hasCO2eEmissions,Text,Text
FAIR4ML,fair4ml:intendedUse,Text or DefinedTerm or URL,Text or DefinedTerm or URL
FAIR4ML,fair4ml:mlTask,Text or DefinedTerm,DefinedTerm
FAIR4ML,fair4ml:modelCategory,Text or DefinedTerm,Text or DefinedTerm
FAIR4ML,fair4ml:modelRisks,Text,Text
FAIR4ML,fair4ml:usageInstructions,Text,Text
FAIR4ML,fair4ml:validatedOn,Dataset or croissant:Dataset, Dataset or croissant:Dataset or Text
schema.org,schema.org:distribution,schema:MediaObject,Text
schema.org,schema.org:memoryRequirements,Text or URL,Text or URL
schema.org,schema.org:operatingSystem,Text,Text
schema.org,schema.org:processorRequirements,Text,Text
schema.org,schema.org:releaseNotes,Text or URL,Text or URL
schema.org,schema.org:softwareHelp,CreativeWork,Text
schema.org,schema.org:softwareRequirements,Text or URL,Text or URL
schema.org,schema.org:storageRequirements,Text or URL,Text or URL
codemeta,codemeta:buildInstructions,URL,Text
codemeta,codemeta:developmentStatus,Text,Text
codemeta,codemeta:issueTracker,URL,URL
codemeta,codemeta:readme,URL,URL
codemeta,codemeta:referencePublication,ScholarlyArticle,ScholarlyArticle
schema.org,schema.org:archivedAt,URL or WebPage,URL or WebPage
schema.org,schema.org:author,Organization or Person,Text
schema.org,schema.org:citation,CreativeWork or Text,CreativeWork or Text
schema.org,schema.org:conditionsOfAccess,Text,Text
schema.org,schema.org:contributor,Organization or Person,Text
schema.org,schema.org:copyrightHolder,Organization or Person,Text
schema.org,schema.org:dateCreated,Date or DateTime,Date or DateTime
schema.org,schema.org:dateModified,Date or DateTime,Date or DateTime
schema.org,schema.org:datePublished,Date or DateTime,Date or DateTime
schema.org,schema.org:discussionUrl,URL,URL
schema.org,schema.org:funding,Grant,Text
schema.org,schema.org:inLanguage,Language or Text,Text
schema.org,schema.org:isAccessibleForFree,Boolean,Text
schema.org,schema.org:keywords,DefinedTerm or Text or URL,DefinedTerm
schema.org,schema.org:license,CreativeWork or URL,Text
schema.org,schema.org:maintainer,Organization or Person,Text
schema.org,schema.org:version,Text,Text
schema.org,schema.org:description,Text or TextObject,Text
schema.org,schema.org:identifier,PropertyValue or Text or URL,URL or Text
schema.org,schema.org:name,Text,Text
schema.org,schema.org:url,URL,URL
